experiment_id,scenario_id,n,beta_name,err_dist,contamination,contam_scale,heterosked,tau,loss,k_param,c_param,n_reps,mean_bias,mean_mse,mean_mae,mean_time,conv_rate,mean_iter,mcse_bias,mcse_mse,mcse_mae,mcse_conv,mcse_time,mcse_iter,bias_precision,conv_precision,overall_precision
6787,56,500,sparse,normal,0.2,10,none,0.75,qhuber,0.2,NA,1000,0.017397642319860497,0.013077720507598062,0.09110138176274536,0.003613370895385742,1,19.975,6.656998701070909e-4,2.4303056527385174e-4,9.079945138008321e-4,0,9.044666042169802e-5,0.06624774534853065,Excellent,Excellent,Adequate
6800,56,500,sparse,normal,0.2,10,none,0.9,qhuber,10,NA,1000,-0.035368071649214544,0.07886016909464116,0.22339997568753103,0.0033204257488250732,1,15.051,0.0017221497576662252,0.0013220437416058659,0.0019204353835481983,0,9.861155970830119e-5,0.03957227520581758,Excellent,Excellent,Adequate
6799,56,500,sparse,normal,0.2,10,none,0.9,qhuber,3,NA,1000,0.04794812588464755,0.16408627715580287,0.3026108071519754,0.004195430278778076,1,23.123,0.002670695620158635,0.005835963340065681,0.004824363677127858,0,8.903808910079109e-5,0.08320332802114223,Excellent,Excellent,Adequate
6798,56,500,sparse,normal,0.2,10,none,0.9,qhuber,2,NA,1000,0.07132081460941062,0.19695150184365473,0.3321807757731506,0.003308300018310547,1,18.249,0.002740734586589361,0.006538158638669443,0.005128413285057283,0,5.362265519546746e-5,0.06877302326296794,Excellent,Excellent,Adequate
9648,57,1000,sparse,normal,0.2,10,none,0.1,qhuber,10,NA,1000,0.040710367022003556,0.04493855580553411,0.16726123850128347,0.012648526906967163,1,17.085,0.00113536740086031,5.79362783091098e-4,0.0012582152006148655,0,1.1062172617315418e-4,0.042492123747590926,Excellent,Excellent,Adequate
9647,57,1000,sparse,normal,0.2,10,none,0.1,qhuber,3,NA,1000,-0.02929486687184433,0.06930478281161173,0.20226725579456156,0.016558835506439207,1,22.206,0.001596037539956413,0.002133401069777,0.0029186364288318507,0,2.149017907944725e-4,0.07737927081299974,Excellent,Excellent,Adequate
9646,57,1000,sparse,normal,0.2,10,none,0.1,qhuber,2,NA,1000,-0.05160348043271981,0.08733599533412036,0.22931587054410352,0.016888192176818848,1,23.193,0.0016740610445474223,0.0024055916860913477,0.002972147541535885,0,1.3190300165282415e-4,0.07778046541902922,Excellent,Excellent,Adequate
9653,57,1000,sparse,normal,0.2,10,none,0.25,qhuber,1,NA,1000,0.0038239124205696035,0.00478794564895748,0.055089335765036496,0.013679080247879028,1,17.838,4.425512096528573e-4,8.864903149282821e-5,5.132308675423692e-4,0,1.1064381523715184e-4,0.042867162182649715,Excellent,Excellent,Adequate
9652,57,1000,sparse,normal,0.2,10,none,0.25,qhuber,0.5,NA,1000,-0.008574311980291913,0.005622909380783299,0.05977343834127155,0.013269947052001954,1,18.04,4.630028669668317e-4,1.0423028682286881e-4,5.799546540360927e-4,0,1.0679901841437607e-4,0.04714469877539386,Excellent,Excellent,Adequate
9651,57,1000,sparse,normal,0.2,10,none,0.25,qhuber,0.2,NA,1000,-0.016979573854043004,0.0074429760265668455,0.0682988262677095,0.014122771501541138,1,19.305,4.6539087012626687e-4,1.1622466763211726e-4,5.812710318241009e-4,0,2.274164381170709e-4,0.05532663044173245,Excellent,Excellent,Adequate
9662,57,1000,sparse,normal,0.2,10,none,0.5,qhuber,2,NA,1000,3.73833399819204e-4,0.0029148769105965633,0.04276384002186626,0.013062890529632568,1,16.57,3.5139603407232013e-4,5.4114789440206664e-5,4.0977212915633003e-4,0,1.9765764624922564e-4,0.036802913668002625,Excellent,Excellent,Adequate
18302,57,1000,sparse,normal,0.2,10,none,0.5,logcosh,NA,1,1000,1.6645840616636465e-4,0.0029964056463458663,0.04352064525111649,0.004994179248809814,1,16.305,3.6460653322598264e-4,5.6989119723754056e-5,4.23955437081859e-4,0,4.266697660108433e-5,0.03618403355465341,Excellent,Excellent,Adequate
9661,57,1000,sparse,normal,0.2,10,none,0.5,qhuber,1,NA,1000,-4.7821531853823197e-4,0.003011573104549279,0.04357303583308443,0.013245273113250732,1,16.91,3.58158981391806e-4,5.6525290316636255e-5,4.1268359855616465e-4,0,1.0482465434159574e-4,0.03841061539959202,Excellent,Excellent,Adequate
9669,57,1000,sparse,normal,0.2,10,none,0.75,qhuber,1,NA,1000,-0.0036961624989078337,0.004963355896336796,0.0561805079002557,0.012279708623886108,1,15.777,4.5181548680335327e-4,8.993954469226915e-5,5.202958764796479e-4,0,1.0330651502240725e-4,0.03986050501260439,Excellent,Excellent,Adequate
9668,57,1000,sparse,normal,0.2,10,none,0.75,qhuber,0.5,NA,1000,0.008605314725998098,0.00548344038723507,0.05920853702088033,0.012607293605804443,1,16.226,4.3527269447182597e-4,9.890586513815513e-5,5.698478807009908e-4,0,1.1295926082583975e-4,0.042055828284468404,Excellent,Excellent,Adequate
9667,57,1000,sparse,normal,0.2,10,none,0.75,qhuber,0.2,NA,1000,0.01679624364515142,0.007482615126538609,0.06863882820571163,0.013020616054534912,1,17.542,4.3895919083927797e-4,1.2299804010256082e-4,6.130566104532624e-4,0,1.03979571449745e-4,0.051603283799569376,Excellent,Excellent,Adequate
